id,created_at,round,match,listType,voter_discord_id,winningSubmission,losingSubmission
203,2025-04-18 14:51:00.776883+00,3,0,best,bigboy_gabe,111,109
204,2025-04-18 14:51:01.645773+00,4,0,best,capy_degen,115,68
205,2025-04-18 14:51:02.728021+00,3,0,best,cukr0,107,118
206,2025-04-18 14:51:09.380681+00,2,0,best,zeemik,94,91
207,2025-04-18 14:51:10.376639+00,3,1,best,bigboy_gabe,68,120
208,2025-04-18 14:51:11.008019+00,3,1,best,cukr0,68,105
209,2025-04-18 14:51:14.44948+00,0,0,worst,capy_degen,46,108
210,2025-04-18 14:51:19.38562+00,2,1,best,zeemik,72,107
211,2025-04-18 14:51:22.706883+00,0,1,worst,capy_degen,127,99
212,2025-04-18 14:51:23.968487+00,4,0,best,cukr0,107,68
213,2025-04-18 14:51:28.879976+00,0,2,worst,capy_degen,104,126
214,2025-04-18 14:51:29.004279+00,2,2,best,zeemik,52,114
215,2025-04-18 14:51:33.55231+00,4,0,best,bigboy_gabe,68,111
216,2025-04-18 14:51:35.336393+00,0,3,worst,capy_degen,53,51
217,2025-04-18 14:51:38.7298+00,0,0,worst,cukr0,108,46
218,2025-04-18 14:51:41.491457+00,2,3,best,zeemik,105,120
219,2025-04-18 14:51:44.68372+00,0,4,worst,capy_degen,89,93
221,2025-04-18 14:51:51.873251+00,0,5,worst,capy_degen,96,117
222,2025-04-18 14:51:51.95632+00,0,0,worst,bigboy_gabe,46,108
223,2025-04-18 14:51:52.415852+00,0,1,worst,cukr0,99,79
224,2025-04-18 14:51:58.287908+00,3,0,best,zeemik,72,94
225,2025-04-18 14:52:00.652856+00,1,0,worst,capy_degen,46,127
226,2025-04-18 14:52:01.93986+00,0,2,worst,cukr0,104,127
228,2025-04-18 14:52:03.223966+00,0,1,worst,bigboy_gabe,79,99
229,2025-04-18 14:52:04.361531+00,3,1,best,zeemik,52,105
230,2025-04-18 14:52:06.357216+00,1,1,worst,capy_degen,53,104
231,2025-04-18 14:52:07.788992+00,4,0,best,zeemik,72,52
232,2025-04-18 14:52:12.239916+00,1,2,worst,capy_degen,96,89
233,2025-04-18 14:52:12.553644+00,0,3,worst,cukr0,53,126
234,2025-04-18 14:52:18.11099+00,0,2,worst,bigboy_gabe,127,104
235,2025-04-18 14:52:21.545935+00,0,4,worst,cukr0,93,89
236,2025-04-18 14:52:26.124107+00,1,3,worst,capy_degen,113,122
237,2025-04-18 14:52:35.591332+00,0,3,worst,bigboy_gabe,51,126
238,2025-04-18 14:52:45.909772+00,0,4,worst,bigboy_gabe,53,89
241,2025-04-18 14:53:06.936769+00,0,0,worst,zeemik,46,108
242,2025-04-18 14:53:10.791273+00,0,5,worst,cukr0,96,117
243,2025-04-18 14:53:10.952614+00,0,5,worst,bigboy_gabe,93,96
245,2025-04-18 14:53:19.217043+00,1,4,worst,capy_degen,87,62
246,2025-04-18 14:53:19.664419+00,1,0,worst,cukr0,108,99
247,2025-04-18 14:53:21.794403+00,1,0,worst,bigboy_gabe,79,46
249,2025-04-18 14:53:27.817087+00,1,5,worst,capy_degen,124,70
250,2025-04-18 14:53:27.920319+00,1,1,worst,cukr0,104,53
251,2025-04-18 14:53:27.987665+00,0,1,worst,zeemik,79,99
252,2025-04-18 14:53:28.297589+00,1,1,worst,bigboy_gabe,51,127
254,2025-04-18 14:53:34.857581+00,1,6,worst,capy_degen,119,110
255,2025-04-18 14:53:35.889045+00,1,2,worst,bigboy_gabe,53,93
256,2025-04-18 14:53:39.116803+00,1,7,worst,capy_degen,116,112
257,2025-04-18 14:53:39.336709+00,1,2,worst,cukr0,93,96
258,2025-04-18 14:53:42.302131+00,1,3,worst,bigboy_gabe,113,117
260,2025-04-18 14:53:43.791687+00,2,0,worst,capy_degen,46,53
261,2025-04-18 14:53:50.229985+00,2,1,worst,capy_degen,113,96
262,2025-04-18 14:53:50.845764+00,0,2,worst,zeemik,127,104
263,2025-04-18 14:53:54.32879+00,2,2,worst,capy_degen,87,124
264,2025-04-18 14:53:55.03193+00,1,3,worst,cukr0,122,113
265,2025-04-18 14:53:57.975366+00,0,3,worst,zeemik,53,51
266,2025-04-18 14:53:59.323177+00,1,4,worst,bigboy_gabe,122,62
268,2025-04-18 14:54:01.775386+00,2,3,worst,capy_degen,116,119
269,2025-04-18 14:54:05.60564+00,0,4,worst,zeemik,89,93
270,2025-04-18 14:54:06.377541+00,3,0,worst,capy_degen,113,46
271,2025-04-18 14:54:06.598883+00,1,4,worst,cukr0,62,87
273,2025-04-18 14:54:09.598301+00,1,5,worst,bigboy_gabe,87,124
274,2025-04-18 14:54:10.040385+00,0,5,worst,zeemik,117,96
275,2025-04-18 14:54:18.141702+00,3,1,worst,capy_degen,116,87
276,2025-04-18 14:54:22.216182+00,1,6,worst,bigboy_gabe,119,110
277,2025-04-18 14:54:24.213799+00,1,5,worst,cukr0,70,124
278,2025-04-18 14:54:24.309554+00,1,0,worst,zeemik,79,46
279,2025-04-18 14:54:25.378581+00,4,0,worst,capy_degen,116,113
280,2025-04-18 14:54:30.86565+00,1,1,worst,zeemik,53,127
281,2025-04-18 14:54:32.80072+00,1,6,worst,cukr0,119,110
282,2025-04-18 14:54:33.56774+00,1,7,worst,bigboy_gabe,116,112
283,2025-04-18 14:54:39.07254+00,1,2,worst,zeemik,117,89
284,2025-04-18 14:54:43.305736+00,1,7,worst,cukr0,116,112
285,2025-04-18 14:54:44.714783+00,1,3,worst,zeemik,113,122
286,2025-04-18 14:54:44.911387+00,2,0,worst,bigboy_gabe,79,51
287,2025-04-18 14:54:52.726312+00,1,4,worst,zeemik,87,62
289,2025-04-18 14:54:56.841211+00,2,0,worst,cukr0,104,108
290,2025-04-18 14:54:57.643273+00,2,1,worst,bigboy_gabe,113,53
291,2025-04-18 14:55:01.787682+00,1,5,worst,zeemik,70,124
292,2025-04-18 14:55:04.889071+00,2,2,worst,bigboy_gabe,87,122
293,2025-04-18 14:55:08.125103+00,2,1,worst,cukr0,93,122
294,2025-04-18 14:55:09.925454+00,2,3,worst,bigboy_gabe,116,119
295,2025-04-18 14:55:15.466738+00,1,6,worst,zeemik,119,110
297,2025-04-18 14:55:18.815173+00,3,0,worst,bigboy_gabe,79,113
298,2025-04-18 14:55:19.252463+00,2,2,worst,cukr0,70,62
299,2025-04-18 14:55:26.11118+00,1,7,worst,zeemik,112,116
300,2025-04-18 14:55:27.278055+00,3,1,worst,bigboy_gabe,116,87
301,2025-04-18 14:55:27.522013+00,0,0,best,kooubek,123,45
302,2025-04-18 14:55:28.600357+00,2,3,worst,cukr0,119,116
304,2025-04-18 14:55:36.344498+00,3,0,worst,cukr0,104,93
305,2025-04-18 14:55:40.189721+00,4,0,worst,bigboy_gabe,79,116
306,2025-04-18 14:55:40.590213+00,0,1,best,kooubek,118,94
307,2025-04-18 14:55:45.228568+00,3,1,worst,cukr0,119,70
308,2025-04-18 14:55:50.586366+00,4,0,worst,cukr0,104,119
309,2025-04-18 14:55:51.631788+00,2,0,worst,zeemik,79,53
310,2025-04-18 14:55:54.789053+00,0,2,best,kooubek,86,111
311,2025-04-18 14:55:56.856465+00,2,1,worst,zeemik,113,117
313,2025-04-18 14:56:05.292121+00,2,2,worst,zeemik,70,87
314,2025-04-18 14:56:06.299474+00,0,3,best,kooubek,91,101
315,2025-04-18 14:56:10.754914+00,2,3,worst,zeemik,112,119
317,2025-04-18 14:56:15.518773+00,0,4,best,kooubek,115,121
318,2025-04-18 14:56:20.300658+00,3,0,worst,zeemik,113,79
319,2025-04-18 14:56:23.395614+00,1,0,best,kooubek,123,118
321,2025-04-18 14:56:30.565734+00,3,1,worst,zeemik,112,70
322,2025-04-18 14:56:34.694335+00,1,1,best,kooubek,86,91
324,2025-04-18 14:56:46.267247+00,1,2,best,kooubek,72,115
326,2025-04-18 14:56:54.259633+00,4,0,worst,zeemik,113,112
327,2025-04-18 14:57:03.113078+00,1,3,best,kooubek,107,109
328,2025-04-18 14:57:10.320565+00,1,4,best,kooubek,114,61
330,2025-04-18 14:57:17.948523+00,1,5,best,kooubek,68,65
331,2025-04-18 14:57:24.619745+00,1,6,best,kooubek,52,47
333,2025-04-18 14:57:39.214202+00,1,7,best,kooubek,120,98
335,2025-04-18 14:57:47.596642+00,2,0,best,kooubek,123,86
336,2025-04-18 14:57:56.131346+00,2,1,best,kooubek,72,107
337,2025-04-18 14:58:04.533413+00,2,2,best,kooubek,68,114
338,2025-04-18 14:58:22.698777+00,2,3,best,kooubek,52,120
360,2025-04-18 15:09:42.716197+00,3,0,best,kooubek,123,72
361,2025-04-18 15:09:49.868885+00,3,1,best,kooubek,68,52
362,2025-04-18 15:09:58.801401+00,4,0,best,kooubek,68,123
363,2025-04-18 15:11:15.24369+00,0,0,worst,kooubek,108,46
364,2025-04-18 15:11:34.961515+00,0,1,worst,kooubek,99,79
365,2025-04-18 15:12:47.37925+00,0,2,worst,kooubek,126,127
366,2025-04-18 15:12:55.894884+00,0,3,worst,kooubek,53,51
367,2025-04-18 15:12:57.520604+00,0,0,best,psajcho,123,45
368,2025-04-18 15:13:05.042446+00,0,4,worst,kooubek,89,93
369,2025-04-18 15:13:11.346676+00,0,5,worst,kooubek,96,117
370,2025-04-18 15:13:16.328904+00,0,1,best,psajcho,118,94
371,2025-04-18 15:13:17.874797+00,1,0,worst,kooubek,108,99
372,2025-04-18 15:13:28.298758+00,0,2,best,psajcho,101,111
373,2025-04-18 15:13:28.772433+00,1,1,worst,kooubek,126,53
374,2025-04-18 15:13:39.020985+00,1,2,worst,kooubek,96,89
375,2025-04-18 15:13:46.199816+00,0,3,best,psajcho,91,115
376,2025-04-18 15:13:50.174748+00,1,3,worst,kooubek,122,113
377,2025-04-18 15:13:54.980333+00,0,0,best,seean8156,45,94
378,2025-04-18 15:13:56.858048+00,0,0,best,3y3scr3am,45,123
379,2025-04-18 15:14:00.319904+00,0,0,worst,psajcho,46,108
380,2025-04-18 15:14:01.877061+00,1,4,worst,kooubek,62,87
381,2025-04-18 15:14:05.350292+00,0,0,best,ninah8637,123,45
382,2025-04-18 15:14:09.616974+00,1,5,worst,kooubek,70,124
383,2025-04-18 15:14:11.299163+00,0,1,best,seean8156,118,86
384,2025-04-18 15:14:12.684371+00,0,4,best,psajcho,121,72
385,2025-04-18 15:14:15.723567+00,1,6,worst,kooubek,110,119
386,2025-04-18 15:14:21.955839+00,1,7,worst,kooubek,116,112
387,2025-04-18 15:14:28.311089+00,2,0,worst,kooubek,108,126
388,2025-04-18 15:14:34.848347+00,0,1,best,ninah8637,94,118
389,2025-04-18 15:14:35.396153+00,2,1,worst,kooubek,96,122
390,2025-04-18 15:14:36.811859+00,0,2,best,seean8156,101,111
391,2025-04-18 15:14:38.611087+00,0,0,best,sinkvili,45,123
392,2025-04-18 15:14:39.946359+00,2,2,worst,kooubek,70,62
393,2025-04-18 15:14:47.460097+00,2,3,worst,kooubek,110,116
394,2025-04-18 15:14:51.401825+00,0,3,best,seean8156,115,91
395,2025-04-18 15:14:51.894539+00,3,0,worst,kooubek,96,108
396,2025-04-18 15:14:54.655234+00,0,1,best,sinkvili,118,94
397,2025-04-18 15:14:55.850716+00,3,1,worst,kooubek,110,70
398,2025-04-18 15:14:59.852874+00,0,2,best,ninah8637,86,111
399,2025-04-18 15:15:00.172727+00,4,0,worst,kooubek,96,110
400,2025-04-18 15:15:04.982842+00,0,4,best,seean8156,72,121
401,2025-04-18 15:15:13.255171+00,1,0,best,psajcho,123,118
402,2025-04-18 15:15:14.419371+00,0,3,best,ninah8637,101,91
403,2025-04-18 15:15:25.833893+00,1,0,best,seean8156,45,118
404,2025-04-18 15:15:27.623015+00,0,1,worst,psajcho,79,99
405,2025-04-18 15:15:36.991815+00,1,1,best,seean8156,115,101
406,2025-04-18 15:15:37.776982+00,0,2,worst,psajcho,104,127
407,2025-04-18 15:15:44.113209+00,0,2,best,sinkvili,86,111
408,2025-04-18 15:15:46.15073+00,0,1,best,3y3scr3am,94,118
409,2025-04-18 15:15:47.064831+00,1,2,best,seean8156,72,109
410,2025-04-18 15:15:48.430386+00,0,3,worst,psajcho,51,126
411,2025-04-18 15:15:52.56055+00,0,4,worst,psajcho,89,53
412,2025-04-18 15:15:59.222562+00,0,5,worst,psajcho,93,96
413,2025-04-18 15:16:07.249484+00,1,0,worst,psajcho,46,79
414,2025-04-18 15:16:09.021367+00,0,4,best,ninah8637,121,115
415,2025-04-18 15:16:10.711725+00,1,3,best,seean8156,107,114
416,2025-04-18 15:16:14.789668+00,1,1,worst,psajcho,104,51
417,2025-04-18 15:16:20.095769+00,1,2,worst,psajcho,93,89
418,2025-04-18 15:16:21.111173+00,1,0,best,ninah8637,123,94
419,2025-04-18 15:16:24.523401+00,1,3,worst,psajcho,117,113
420,2025-04-18 15:16:29.124164+00,1,4,worst,psajcho,62,122
421,2025-04-18 15:16:30.832229+00,1,4,best,seean8156,61,65
422,2025-04-18 15:16:32.387185+00,1,1,best,ninah8637,101,86
423,2025-04-18 15:16:37.222029+00,1,5,worst,psajcho,124,70
424,2025-04-18 15:16:46.337794+00,1,1,best,psajcho,91,101
425,2025-04-18 15:16:46.804338+00,1,5,best,seean8156,52,68
426,2025-04-18 15:16:54.758194+00,1,2,best,psajcho,121,109
427,2025-04-18 15:17:01.051339+00,1,6,best,seean8156,105,47
428,2025-04-18 15:17:01.617045+00,1,3,best,psajcho,107,114
429,2025-04-18 15:17:02.266462+00,1,2,best,ninah8637,121,72
430,2025-04-18 15:17:08.596105+00,1,4,best,psajcho,65,61
431,2025-04-18 15:17:10.809434+00,0,3,best,sinkvili,101,91
432,2025-04-18 15:17:12.41731+00,1,3,best,ninah8637,107,114
433,2025-04-18 15:17:13.310974+00,1,7,best,seean8156,120,98
434,2025-04-18 15:17:28.88227+00,0,4,best,sinkvili,121,115
435,2025-04-18 15:17:29.649312+00,2,0,best,seean8156,45,115
436,2025-04-18 15:17:31.966212+00,1,5,best,psajcho,68,52
437,2025-04-18 15:17:36.911189+00,1,4,best,ninah8637,65,61
438,2025-04-18 15:17:37.701684+00,1,6,best,psajcho,105,47
439,2025-04-18 15:17:40.361389+00,1,0,best,sinkvili,118,45
440,2025-04-18 15:17:43.472032+00,1,7,best,psajcho,98,120
441,2025-04-18 15:17:44.472695+00,2,1,best,seean8156,72,107
442,2025-04-18 15:17:49.760474+00,2,0,best,psajcho,123,91
443,2025-04-18 15:17:52.687379+00,0,0,best,gtliadrinea,45,123
444,2025-04-18 15:17:53.991179+00,1,1,best,sinkvili,101,86
445,2025-04-18 15:17:56.903996+00,2,1,best,psajcho,107,121
446,2025-04-18 15:17:57.761581+00,2,2,best,seean8156,52,61
447,2025-04-18 15:18:02.271283+00,2,2,best,psajcho,68,65
448,2025-04-18 15:18:02.437866+00,1,2,best,sinkvili,121,72
449,2025-04-18 15:18:05.183732+00,0,1,best,gtliadrinea,94,118
450,2025-04-18 15:18:07.184812+00,2,3,best,psajcho,105,98
451,2025-04-18 15:18:10.048895+00,1,5,best,ninah8637,68,52
452,2025-04-18 15:18:11.107836+00,3,0,best,psajcho,107,123
453,2025-04-18 15:18:11.701842+00,1,3,best,sinkvili,107,109
454,2025-04-18 15:18:12.686491+00,2,3,best,seean8156,105,120
455,2025-04-18 15:18:19.194116+00,0,0,best,.dryfish,45,123
456,2025-04-18 15:18:19.71722+00,1,6,worst,psajcho,110,119
457,2025-04-18 15:18:26.23232+00,1,7,worst,psajcho,112,116
458,2025-04-18 15:18:26.83273+00,1,4,best,sinkvili,114,65
459,2025-04-18 15:18:28.980319+00,1,6,best,ninah8637,105,47
460,2025-04-18 15:18:29.718162+00,0,1,best,.dryfish,118,94
461,2025-04-18 15:18:30.137955+00,3,0,best,seean8156,72,45
462,2025-04-18 15:18:33.616624+00,2,0,worst,psajcho,104,46
463,2025-04-18 15:18:37.97255+00,2,1,worst,psajcho,93,117
464,2025-04-18 15:18:39.389528+00,1,7,best,ninah8637,98,120
465,2025-04-18 15:18:40.085875+00,0,2,best,.dryfish,86,111
466,2025-04-18 15:18:42.042123+00,1,5,best,sinkvili,68,52
467,2025-04-18 15:18:42.451797+00,2,2,worst,psajcho,62,124
468,2025-04-18 15:18:43.973153+00,3,1,best,seean8156,52,105
469,2025-04-18 15:18:48.08845+00,2,3,worst,psajcho,112,110
470,2025-04-18 15:18:52.174326+00,2,0,best,ninah8637,101,123
471,2025-04-18 15:18:53.21808+00,3,0,worst,psajcho,93,104
472,2025-04-18 15:18:54.369042+00,0,2,best,3y3scr3am,86,111
473,2025-04-18 15:18:55.168548+00,0,2,best,gtliadrinea,111,86
474,2025-04-18 15:18:55.530813+00,0,3,best,.dryfish,91,101
475,2025-04-18 15:18:56.676837+00,4,0,best,seean8156,52,72
476,2025-04-18 15:19:00.599887+00,3,1,worst,psajcho,112,62
477,2025-04-18 15:19:01.428223+00,1,6,best,sinkvili,47,105
478,2025-04-18 15:19:02.091488+00,2,1,best,ninah8637,121,107
480,2025-04-18 15:19:06.400078+00,0,4,best,.dryfish,72,121
481,2025-04-18 15:19:08.539997+00,0,0,best,bugrid,45,123
482,2025-04-18 15:19:12.071816+00,4,0,worst,psajcho,112,93
483,2025-04-18 15:19:20.418579+00,1,0,best,.dryfish,45,118
484,2025-04-18 15:19:26.184068+00,0,0,worst,seean8156,108,46
485,2025-04-18 15:19:27.311724+00,1,1,best,.dryfish,86,91
486,2025-04-18 15:19:27.462676+00,3,1,best,psajcho,105,68
487,2025-04-18 15:19:28.437925+00,0,1,best,bugrid,86,118
488,2025-04-18 15:19:32.692518+00,1,7,best,sinkvili,120,98
489,2025-04-18 15:19:34.30004+00,1,2,best,.dryfish,72,109
490,2025-04-18 15:19:35.062987+00,4,0,best,psajcho,105,107
491,2025-04-18 15:19:35.999068+00,0,2,best,bugrid,111,101
492,2025-04-18 15:19:39.923068+00,1,3,best,.dryfish,114,107
493,2025-04-18 15:19:43.636987+00,2,0,best,sinkvili,118,101
494,2025-04-18 15:19:46.340984+00,0,3,best,bugrid,115,91
495,2025-04-18 15:19:47.939781+00,1,4,best,.dryfish,61,65
497,2025-04-18 15:19:53.694158+00,2,1,best,sinkvili,121,107
498,2025-04-18 15:19:55.436365+00,1,5,best,.dryfish,52,68
499,2025-04-18 15:20:05.088749+00,1,6,best,.dryfish,105,47
500,2025-04-18 15:20:06.821812+00,2,2,best,sinkvili,68,114
501,2025-04-18 15:20:06.916055+00,0,4,best,bugrid,121,72
502,2025-04-18 15:20:12.660064+00,1,7,best,.dryfish,98,120
503,2025-04-18 15:20:15.71452+00,1,0,best,bugrid,45,86
504,2025-04-18 15:20:16.536785+00,2,0,best,.dryfish,86,45
505,2025-04-18 15:20:16.996874+00,2,3,best,sinkvili,47,120
506,2025-04-18 15:20:21.94483+00,1,1,best,bugrid,111,115
507,2025-04-18 15:20:22.454879+00,2,1,best,.dryfish,114,72
508,2025-04-18 15:20:26.667741+00,2,2,best,.dryfish,52,61
509,2025-04-18 15:20:28.247379+00,1,2,best,bugrid,121,109
510,2025-04-18 15:20:31.580723+00,3,0,best,sinkvili,118,121
511,2025-04-18 15:20:32.937899+00,2,2,best,ninah8637,68,65
512,2025-04-18 15:20:35.566161+00,0,3,best,3y3scr3am,101,91
513,2025-04-18 15:20:38.82981+00,2,3,best,ninah8637,105,98
514,2025-04-18 15:20:39.364213+00,1,3,best,bugrid,107,114
515,2025-04-18 15:20:40.209094+00,0,1,worst,seean8156,79,99
516,2025-04-18 15:20:42.458712+00,3,1,best,sinkvili,47,68
517,2025-04-18 15:20:47.167478+00,2,3,best,.dryfish,105,98
518,2025-04-18 15:20:52.34042+00,1,4,best,bugrid,61,65
519,2025-04-18 15:21:09.637106+00,3,0,best,.dryfish,114,86
520,2025-04-18 15:21:10.395213+00,1,5,best,bugrid,68,52
521,2025-04-18 15:21:12.327726+00,0,4,best,3y3scr3am,115,121
522,2025-04-18 15:21:18.959298+00,3,0,best,ninah8637,101,121
523,2025-04-18 15:21:22.757271+00,0,2,worst,seean8156,104,127
